Economy_Code,Economy_Label,1995_US_at_current_prices_per_capita_Value,1996_US_at_current_prices_per_capita_Value,1997_US_at_current_prices_per_capita_Value,1998_US_at_current_prices_per_capita_Value,1999_US_at_current_prices_per_capita_Value,2000_US_at_current_prices_per_capita_Value,2001_US_at_current_prices_per_capita_Value,2002_US_at_current_prices_per_capita_Value,2003_US_at_current_prices_per_capita_Value,2004_US_at_current_prices_per_capita_Value,2005_US_at_current_prices_per_capita_Value,2006_US_at_current_prices_per_capita_Value,2007_US_at_current_prices_per_capita_Value,2008_US_at_current_prices_per_capita_Value,2009_US_at_current_prices_per_capita_Value,2010_US_at_current_prices_per_capita_Value,2011_US_at_current_prices_per_capita_Value,2012_US_at_current_prices_per_capita_Value,2013_US_at_current_prices_per_capita_Value,2014_US_at_current_prices_per_capita_Value,2015_US_at_current_prices_per_capita_Value,2016_US_at_current_prices_per_capita_Value,2017_US_at_current_prices_per_capita_Value,2018_US_at_current_prices_per_capita_Value,2019_US_at_current_prices_per_capita_Value,2020_US_at_current_prices_per_capita_Value,2021_US_at_current_prices_per_capita_Value,2022_US_at_current_prices_per_capita_Value,2023_US_at_current_prices_per_capita_Value
4,Afghanistan,190,176,163,152,137,175,178,200,215,234,265,287,386,389,434,535,611,648,629,595,553,525,533,513,512,511,379,349,336
8,Albania,734,986,689,796,1010,1102,1247,1390,1784,2316,2618,2916,3532,4304,4067,4072,4428,4234,4394,4556,3928,4093,4492,5237,5339,5280,6292,6690,8184
12,Algeria,1474,1613,1625,1600,1593,1769,1757,1790,2109,2615,3117,3481,3948,4911,3866,4455,5420,5553,5460,5454,4147,3918,4080,4115,3967,3309,3652,4220,4454
20,Andorra,23337,24206,23090,23455,23875,21756,23491,26404,33987,38951,40814,43429,48272,48934,43799,42705,46596,41503,42458,44311,38639,40103,40673,42820,41258,37361,42426,42356,46010
24,Angola,485,616,698,568,525,754,713,882,993,1266,1916,2617,3141,4103,3137,3597,4616,5086,5225,5365,4127,3465,4039,3238,2568,1639,2024,3180,2392
660,Anguilla,10679,10979,11963,13157,13587,13442,13505,13488,14376,16664,18668,22703,27975,27607,21686,20062,21416,20937,21265,22675,23261,22364,19484,21904,25415,17412,20793,31939,35374
28,Antigua and Barbuda,8466,9104,9579,10052,10401,10463,10172,10418,10785,11412,12749,14255,15940,16524,14593,13463,13177,13751,13416,14079,14950,15968,16226,17649,18338,15440,16898,19068,21607
32,Argentina,7976,8307,8833,8911,8355,8280,7743,2908,3655,4275,5116,5916,7241,9045,8233,10329,12704,13790,14403,13180,14833,12700,14533,11753,9956,8536,10768,13899,14247
51,Armenia,415,519,538,629,621,652,732,829,985,1262,1738,2277,3300,4202,3131,3369,3700,3634,3805,3973,3613,3613,3955,4281,4690,4373,4835,6774,8159
533,Aruba,18229,18424,19792,20831,20878,21107,21001,21469,22144,24190,25045,25891,27723,29068,25789,24508,26122,25699,26598,26998,28439,28422,29248,30782,31714,23826,28851,32888,35627
36,Australia,21669,23798,23633,20887,22610,21436,20203,22267,28275,33951,37614,39827,47106,49512,46702,58773,68868,69659,66463,62069,52042,53756,57163,58002,54140,55841,67524,67806,67569
40,Austria,30320,29804,26699,27355,27168,24560,24537,26404,32217,36816,38396,40627,46845,51700,47950,46849,51365,48558,50707,51709,44171,45270,47423,51460,50062,48765,53451,51883,56864
31,Azerbaijan,399,406,499,554,566,645,692,749,866,1022,1541,2409,3744,5463,4896,5784,7125,7432,7803,7812,5442,3837,4100,4693,4765,4193,5357,7646,7393
44,Bahamas,17132,19142,20368,21667,24041,24940,25372,26782,26429,26650,28602,29185,30052,29392,27513,27473,27091,28552,27888,29065,30390,30739,31988,33159,34405,24641,29083,32443,34579
48,Bahrain,11441,11599,11723,10945,11583,13535,12824,12754,13651,15090,17123,18605,20550,22942,19380,21194,23847,25281,25883,25432,22670,22548,23936,25241,26018,23345,26171,28943,28578
50,Bangladesh,309,319,324,329,339,338,332,340,367,392,398,478,549,636,715,809,880,926,1113,1266,1435,1641,1782,1933,2119,2246,2474,2554,2438
52,Barbados,8766,9338,9866,11123,11652,12028,11993,12117,12443,13277,14646,15620,17229,17547,16290,16462,16863,16660,16875,16913,16968,17322,17819,18205,18993,16822,17449,20190,22179
112,Belarus,1405,1475,1440,1561,1250,1078,1285,1528,1880,2458,3231,3977,4895,6591,5351,6030,6520,6941,7980,8320,5951,5024,5763,6332,6826,6563,7531,7944,7856
56,Belgium,28413,27488,24820,25337,25243,23040,22994,24888,30586,35365,36794,38669,44261,48110,44513,43976,47347,44671,46741,47696,40988,41979,44193,47539,46635,45603,51919,50047,54222
84,Belize,4000,4033,4005,4115,4277,4712,4703,4844,4941,5132,5248,5503,5739,5690,5379,5430,5557,5680,5918,6091,6159,6144,6074,6030,6186,5240,6133,7028,7530
204,Benin,377,432,435,494,525,486,492,544,674,757,779,808,911,1056,1020,972,1058,1072,1169,1203,1002,1011,1055,1152,1131,1200,1319,1264,1366
60,Bermuda,42952,45375,48735,51625,54396,56543,59490,63359,67107,71692,77628,85433,96573,103922,102640,104133,99069,100234,101704,100981,104873,108770,112003,113227,115798,106973,112712,116542,122951
64,Bhutan,528,557,638,633,690,736,780,860,975,1080,1204,1304,1722,1789,1778,2206,2505,2483,2421,2601,2756,2997,3435,3400,3577,3192,3570,3712,3820
68,Bolivia (Plurinational State of),853,922,970,1022,979,976,930,888,893,953,1020,1203,1355,1693,1731,1930,2316,2576,2870,3041,2996,3036,3306,3501,3504,3100,3385,3644,3720
70,Bosnia and Herzegovina,535,713,944,1037,1138,1338,1388,1607,2034,2453,2740,3166,3931,4842,4540,4506,4983,4694,5035,5206,4662,4929,5345,6048,6122,6130,7295,7637,8529
72,Botswana,3156,3156,3194,2981,3340,3451,3206,3104,4193,4892,5304,5286,5529,5503,5083,6216,7287,6614,6667,7122,6141,6749,7105,7408,7159,6311,7802,8341,8227
76,Brazil,4833,5199,5314,5071,3478,3767,3176,2856,3091,3664,4828,5934,7410,8908,8679,11403,13397,12522,12459,12275,8936,8836,10081,9301,9069,7074,7872,9130,10144
92,British Virgin Islands,25413,28039,31783,35676,38954,42371,44480,41885,36735,37233,41983,44742,47134,45413,39415,40381,37402,36805,35705,36479,37154,41495,40053,40018,41589,38474,38618,38394,40561
96,Brunei Darussalam,18013,19003,18858,14365,15956,20371,18618,19038,20961,24717,29426,34854,36591,42215,30893,34938,46383,46969,44003,41027,30625,26663,28024,30988,30427,26834,31007,36633,32727
100,Bulgaria,2272,1483,1377,1847,1690,1656,1789,2086,2709,3375,3882,4500,5856,7230,6948,6815,7816,7421,7684,7902,7073,7566,8362,9443,9875,10125,12220,13216,15126
854,Burkina Faso,260,276,254,284,293,248,259,284,362,403,441,455,514,617,599,624,724,732,760,764,630,664,709,777,772,842,909,852,900
