[2025-06-01 13:25:44] INFO     Clean trade data (HS 390110, 2022, M)
[2025-06-01 13:25:45] INFO     📄 Found file: C:\Users\lik6\OneDrive - Universiteit Leiden\PlasticTradeFlow\tradeflow\cml_trade\data_uncomtrade\split_by_hs_2022_numpy\H6_390110_2022.csv
[2025-06-01 13:25:45] INFO     🧹 Cleaning Summary:
[2025-06-01 13:25:45] INFO      - Initial rows: 54481
[2025-06-01 13:25:45] INFO      - Valid country filter: 46053 (84.53%)
[2025-06-01 13:25:45] INFO      - Valid trade value filter: 42116 (77.30%)
[2025-06-01 13:25:45] INFO      - Valid kg-based UV rows: 38634 (70.91%)
[2025-06-01 13:25:45] INFO     📊 Non-kg UV Subset:
[2025-06-01 13:25:45] INFO      - Top unit: Number of items (u)
[2025-06-01 13:25:45] INFO      - Share of valid qty rows: 0.34% (Required: 10%)
[2025-06-01 13:25:45] INFO      - Valid qty count: 134 (Required: 200)
[2025-06-01 13:25:45] WARNING  ❌ No non-kg UV subset created: share 0.34% < 10% and count 134 < 200
[2025-06-01 13:25:45] INFO     ✅ Finished cleaning: HS 390110, Year 2022, Flow M
[2025-06-01 13:25:45] INFO     ✅ Completed trade data cleaning completed in 0.85 seconds.
[2025-06-01 13:25:47] INFO     Outlier detection (HS 390110, 2022, M)
[2025-06-01 13:25:47] INFO     📊 Outlier Detection on Kg-based UV:
[2025-06-01 13:25:47] INFO     - Dropped 3144 rows (8.138%).
[2025-06-01 13:25:47] INFO     - Remaining rows: 35490.
[2025-06-01 13:25:47] INFO     ✅ Completed outlier detection completed in 0.01 seconds.
[2025-06-01 13:25:51] INFO     Histogram (HS 390110, 2022, M)
[2025-06-01 13:25:51] INFO     ✅ Completed histogram completed in 0.57 seconds.
[2025-06-01 13:28:08] INFO     📈 Modality Test Summary:
[2025-06-01 13:28:08] INFO     - Column tested: ln_uv
[2025-06-01 13:28:08] INFO     - Original sample size: 35490
[2025-06-01 13:28:08] WARNING  ❗ Sample capped at 25000 for efficiency.
[2025-06-01 13:28:08] INFO     - Final decision: unimodal (0 reject out of 5)
[2025-06-01 13:42:12] INFO     Clean trade data (HS 390110, 2018, M)
[2025-06-01 13:42:13] INFO     📄 Found file: C:\Users\lik6\OneDrive - Universiteit Leiden\PlasticTradeFlow\tradeflow\cml_trade\data_uncomtrade\split_by_hs_2018_numpy\H5_390110_2018.csv
[2025-06-01 13:42:13] INFO     🧹 Cleaning Summary:
[2025-06-01 13:42:13] INFO      - Initial rows: 50238
[2025-06-01 13:42:13] INFO      - Valid country filter: 42229 (84.06%)
[2025-06-01 13:42:13] INFO      - Valid trade value filter: 33645 (66.97%)
[2025-06-01 13:42:13] INFO      - Valid kg-based UV rows: 21598 (42.99%)
[2025-06-01 13:42:13] INFO     📊 Non-kg UV Subset:
[2025-06-01 13:42:13] INFO      - Top unit: Weight in thousand of kilograms (1000 KG)
[2025-06-01 13:42:13] INFO      - Share of valid qty rows: 1.03% (Required: 10%)
[2025-06-01 13:42:13] INFO      - Valid qty count: 243 (Required: 200)
[2025-06-01 13:42:13] WARNING  ❌ No non-kg UV subset created: share 1.03% < 10%
[2025-06-01 13:42:13] INFO     ✅ Finished cleaning: HS 390110, Year 2018, Flow M
[2025-06-01 13:42:13] INFO     ✅ Completed trade data cleaning completed in 0.80 seconds.
[2025-06-01 13:42:17] INFO     Outlier detection (HS 390110, 2018, M)
[2025-06-01 13:42:17] INFO     📊 Outlier Detection on Kg-based UV:
[2025-06-01 13:42:17] INFO     - Dropped 1768 rows (8.186%).
[2025-06-01 13:42:17] INFO     - Remaining rows: 19830.
[2025-06-01 13:42:17] INFO     ✅ Completed outlier detection completed in 0.01 seconds.
[2025-06-01 13:42:18] INFO     Histogram (HS 390110, 2018, M)
[2025-06-01 13:42:19] INFO     ✅ Completed histogram completed in 0.33 seconds.
[2025-06-01 13:44:05] INFO     Clean trade data (HS 390110, 2019, M)
[2025-06-01 13:44:05] INFO     📄 Found file: C:\Users\lik6\OneDrive - Universiteit Leiden\PlasticTradeFlow\tradeflow\cml_trade\data_uncomtrade\split_by_hs_2019_numpy\H6_390110_2019.csv
[2025-06-01 13:44:06] INFO     🧹 Cleaning Summary:
[2025-06-01 13:44:06] INFO      - Initial rows: 63315
[2025-06-01 13:44:06] INFO      - Valid country filter: 55085 (87.00%)
[2025-06-01 13:44:06] INFO      - Valid trade value filter: 50638 (79.98%)
[2025-06-01 13:44:06] INFO      - Valid kg-based UV rows: 41563 (65.64%)
[2025-06-01 13:44:06] INFO     📊 Non-kg UV Subset:
[2025-06-01 13:44:06] INFO      - Top unit: Weight in thousand of kilograms (1000 KG)
[2025-06-01 13:44:06] INFO      - Share of valid qty rows: 0.60% (Required: 10%)
[2025-06-01 13:44:06] INFO      - Valid qty count: 268 (Required: 200)
[2025-06-01 13:44:06] WARNING  ❌ No non-kg UV subset created: share 0.60% < 10%
[2025-06-01 13:44:06] INFO     ✅ Finished cleaning: HS 390110, Year 2019, Flow M
[2025-06-01 13:44:06] INFO     ✅ Completed trade data cleaning completed in 0.88 seconds.
[2025-06-01 13:44:09] INFO     Outlier detection (HS 390110, 2019, M)
[2025-06-01 13:44:09] INFO     📊 Outlier Detection on Kg-based UV:
[2025-06-01 13:44:09] INFO     - Dropped 4399 rows (10.584%).
[2025-06-01 13:44:09] INFO     - Remaining rows: 37164.
[2025-06-01 13:44:09] INFO     ✅ Completed outlier detection completed in 0.01 seconds.
[2025-06-01 13:44:10] INFO     Histogram (HS 390110, 2019, M)
[2025-06-01 13:44:11] INFO     ✅ Completed histogram completed in 0.54 seconds.
[2025-06-01 13:46:42] INFO     📈 Modality Test Summary:
[2025-06-01 13:46:42] INFO     - Column tested: ln_uv
[2025-06-01 13:46:42] INFO     - Original sample size: 37164
[2025-06-01 13:46:42] WARNING  ❗ Sample capped at 25000 for efficiency.
[2025-06-01 13:46:42] INFO     - Final decision: multimodal (3 reject out of 5)
[2025-06-01 14:20:26] INFO     Histogram (HS 740311, 2018, M)
[2025-06-01 14:20:27] INFO     ✅ Completed histogram completed in 0.89 seconds.
[2025-06-01 14:23:17] INFO     Clean trade data (HS 390110, 2019, M)
[2025-06-01 14:23:17] INFO     📄 Found file: C:\Users\lik6\OneDrive - Universiteit Leiden\PlasticTradeFlow\tradeflow\cml_trade\data_uncomtrade\split_by_hs_2019_numpy\H6_390110_2019.csv
[2025-06-01 14:23:18] INFO     🧹 Cleaning Summary:
[2025-06-01 14:23:18] INFO      - Initial rows: 63315
[2025-06-01 14:23:18] INFO      - Valid country filter: 55085 (87.00%)
[2025-06-01 14:23:18] INFO      - Valid trade value filter: 50638 (79.98%)
[2025-06-01 14:23:18] INFO      - Valid kg-based UV rows: 41563 (65.64%)
[2025-06-01 14:23:18] INFO     📊 Non-kg UV Subset:
[2025-06-01 14:23:18] INFO      - Top unit: Weight in thousand of kilograms (1000 KG)
[2025-06-01 14:23:18] INFO      - Share of valid qty rows: 0.60% (Required: 10%)
[2025-06-01 14:23:18] INFO      - Valid qty count: 268 (Required: 200)
[2025-06-01 14:23:18] WARNING  ❌ No non-kg UV subset created: share 0.60% < 10%
[2025-06-01 14:23:18] INFO     ✅ Finished cleaning: HS 390110, Year 2019, Flow M
[2025-06-01 14:23:18] INFO     ✅ Completed trade data cleaning completed in 0.97 seconds.
[2025-06-01 14:23:19] INFO     Outlier detection (HS 390110, 2019, M)
[2025-06-01 14:23:19] INFO     📊 Outlier Detection on Kg-based UV:
[2025-06-01 14:23:19] INFO     - Dropped 4399 rows (10.584%).
[2025-06-01 14:23:19] INFO     - Remaining rows: 37164.
[2025-06-01 14:23:19] INFO     ✅ Completed outlier detection completed in 0.01 seconds.
[2025-06-01 14:23:20] INFO     Histogram (HS 390110, 2019, M)
[2025-06-01 14:23:21] INFO     ✅ Completed histogram completed in 0.70 seconds.
[2025-06-01 14:23:34] INFO     Clean trade data (HS 390110, 2019, M)
[2025-06-01 14:23:34] INFO     📄 Found file: C:\Users\lik6\OneDrive - Universiteit Leiden\PlasticTradeFlow\tradeflow\cml_trade\data_uncomtrade\split_by_hs_2019_numpy\H6_390110_2019.csv
[2025-06-01 14:23:35] INFO     🧹 Cleaning Summary:
[2025-06-01 14:23:35] INFO      - Initial rows: 63315
[2025-06-01 14:23:35] INFO      - Valid country filter: 55085 (87.00%)
[2025-06-01 14:23:35] INFO      - Valid trade value filter: 50638 (79.98%)
[2025-06-01 14:23:35] INFO      - Valid kg-based UV rows: 41563 (65.64%)
[2025-06-01 14:23:35] INFO     📊 Non-kg UV Subset:
[2025-06-01 14:23:35] INFO      - Top unit: Weight in thousand of kilograms (1000 KG)
[2025-06-01 14:23:35] INFO      - Share of valid qty rows: 0.60% (Required: 10%)
[2025-06-01 14:23:35] INFO      - Valid qty count: 268 (Required: 200)
[2025-06-01 14:23:35] WARNING  ❌ No non-kg UV subset created: share 0.60% < 10%
[2025-06-01 14:23:35] INFO     ✅ Finished cleaning: HS 390110, Year 2019, Flow M
[2025-06-01 14:23:35] INFO     ✅ Completed trade data cleaning completed in 0.55 seconds.
[2025-06-01 14:23:39] INFO     Outlier detection (HS 390110, 2019, M)
[2025-06-01 14:23:39] INFO     📊 Outlier Detection on Kg-based UV:
[2025-06-01 14:23:39] INFO     - Dropped 4399 rows (10.584%).
[2025-06-01 14:23:39] INFO     - Remaining rows: 37164.
[2025-06-01 14:23:39] INFO     ✅ Completed outlier detection completed in 0.01 seconds.
[2025-06-01 14:23:41] INFO     Histogram (HS 390110, 2019, M)
[2025-06-01 14:23:41] INFO     ✅ Completed histogram completed in 0.49 seconds.
[2025-06-01 14:25:56] INFO     📈 Modality Test Summary:
[2025-06-01 14:25:56] INFO     - Column tested: ln_uv
[2025-06-01 14:25:56] INFO     - Original sample size: 37164
[2025-06-01 14:25:56] WARNING  ❗ Sample capped at 25000 for efficiency.
[2025-06-01 14:25:56] INFO     - Final decision: multimodal (3 reject out of 5)
